Храм иконы Божией Матери Отрада и Утешение на Каховке;;+7 (963) 770-33-70;Севастопольская площадь, 1;otrada-nam.ru;55.653 37.598;church
Храм в честь святых мучеников Анатолия и Протолеона;;+7 (916) 350-03-28, +7 (963) 771-42-40;Братиславская, вл2;maip.moseparh.ru;55.661 37.758;church
Церковь Луки архиепископа Крымского;;+7 (926) 163-98-46, +7 (917) 557-57-39;улица Верхние Поля, вл1;voskresenye-den.moseparh.ru;55.667 37.768;church
Храм святых Жен-Мироносиц в Марьино;;+7 (985) 452-08-82;Белореченская, 30 ст1;hram-mir.ru;55.663 37.772;church
Временный храм святых благоверных Петра и Февронии Муромских;;+7 (968) 784-11-14, +7 (916) 927-00-21, +7 (926) 437-65-15;ул. Марьинский Парк, 2Б, Москва;;55.652 37.778;church
Храм Казанской иконы Божией Матери, г. Москва;;+7 (967) 162-66-13, +7 (965) 162-66-13;Воскресенская, 1/37 ст1;mesherahram.ru;55.676 37.409;church
Храм Иконы Божией Матери Неопалимая Купина;;+7 (905) 775-99-77, +7 (985) 203-98-94;Мичуринский проспект, вл1;hram-kupina.ru;55.675 37.459;church
Храм святых равноапостольных Кирилла и Мефодия, МГУ им. М.В. Ломоносова;+7 (499) 391-67-77;;проспект Вернадского, 10 ст2;hram-mgu.ru;55.689 37.521;church
Храм Всех Преподобных Отцев Киево-Печерских в Старых Черемушках;+7 (499) 398-21-14;;улица Кржижановского, вл22 ст1;lavravcheremushkah.ru;55.678 37.575;church
Воскресная школа, Храм Живоначальной Троицы в Старых Черемушках;+7 (499) 123-81-37, +7 (499) 123-64-00, +7 (499) 176-08-22;+7 (917) 517-01-06, +7 (965) 309-17-34, +7 (968) 867-93-50;Шверника, 17 к1 ст2;hramvcheremushkah.ru;55.691 37.594;church
Храм преподобного Алексия, человека Божия, в Садовниках;;+7 (926) 698-88-87;Садовники, 4Б ст1;alekseevskay.moseparh.ru;55.677 37.652;church
Храмовый комплекс Святого Апостола Андрея Первозванного в Люблино;+7 (495) 665-04-47;;Ставропольская улица, вл25;hram-lublino.ru;55.684 37.763;church
Храм Преподобного Саввы Освященного;;+7 (925) 037-00-31;Тихорецкий бульвар, 1Б;savva-lublino.ru , савва-освященный.москва;55.680 37.779;church
Храм святого мученика Андрея Стратилата;;+7 (929) 500-55-25;улица Маршала Кожедуба, вл14;stratilat.moseparh.ru;55.673 37.789;church
